word_id,word,source
13717,enhanced,buntan
13718,collaborative,buntan
13719,tightknit,buntan
13720,leg up,buntan
13721,entrepreneurship,buntan
13722,extroverted,buntan
13723,factor out,buntan
13724,appraisal,buntan
13725,conspicuously,buntan
13726,innovative,buntan
13727,liberal arts,buntan
13728,multifaceted,buntan
13729,fertility rate,buntan
13730,gene pool,buntan
13731,posit,buntan
13732,on the face of things,buntan
13733,side effect,buntan
13734,give away,buntan
13735,big-time,buntan
13736,at one's disposal,buntan
13737,uplifting,buntan
13738,stinginess,buntan
13739,of one's own volition,buntan
13740,job title,buntan
13741,give short shrift to,buntan
13742,be blind to,buntan
13743,downside,buntan
13744,state of mind,buntan
13745,demote,buntan
13746,experiment with,buntan
13747,set an example,buntan
13748,ironic twist,buntan
13749,self-discipline,buntan
13750,bear up,buntan
13751,nose out,buntan
13752,eat away at,buntan
13753,intelligence quotient,buntan
13754,overconfident,buntan
13755,in a vacuum,buntan
13756,interpersonal dynamics,buntan
13757,interdependence,buntan
13758,take aim,buntan
13759,set up a for b,buntan
13760,ill-prepared,buntan
13761,bout of,buntan
13762,reflect on,buntan
13763,be equipped to do,buntan
13764,motivator,buntan
13765,face up to,buntan
13766,tenacity,buntan
